_id,asin,packSize,price,ref1,ref1PackSize,ref1Price,ref1Reviews,ref2,ref2PackSize,ref2Price,ref2Reviews,ref3,ref3PackSize,ref3Price,ref3Reviews,reviews
"""6109a17d6b7d33753f86e7be""",B07GF4ZR17,1,$25.33,B07FFBN8NN,18,$26.99,"2,423",B079B28RSW,1,$25.99,,B08JG45LRW,18,$25.99,308,
"""6109a17d6b7d33753f86e7d8""",B07GDXCPGD,1,$22.78,B06Y19BZ1P,18,$29.42,"2,423",B07BKSFR97,18,$27.99,175,B0791MFMRQ,18,,"1,528",
"""610d593e6b5dbb840c63e359""",B07GF58FQ3,1,$21.44,B077SXC31T,1,$23.94,711,B00115YEBY,1,$37.15,"1,747",,,,,
"""610d593e6b5dbb840c63e36c""",B079L9X9M4,1,$28.99,B00084RP0G,1,$29.81,"3,572",B00084JMC0,1,$26.96,296,B00BYFMYKY,,$28.85,4,
"""610d593e6b5dbb840c63e37c""",B07GDQLV3G,1,$30.99,B07TBDS1RG,1,$35.69,207,B077SXC31T,1,$23.94,711,B003SQUR9M,1,$22.00,881,
"""610d593e6b5dbb840c63e397""",B07SNGQQVW,1,,B000X05G1A,1,$49.85,"24,861",B0009XB7M8,1,$79.99,355,B00ZTRLD2I,1,$69.99,345,
"""610d593e6b5dbb840c63e3bc""",B07GF9P3FY,1,$25.33,B01JMZXC1M,1,$27.98,"2,423",B01GGB83K0,18,,"1,060",B07Q2TQZ85,1,$27.99,317,
"""610d593e6b5dbb840c63e3c6""",B07SRXPHT1,1,,B000X07GQS,1,$55.40,"24,861",B000IJR5GK,1,$69.00,"1,414",,,,,
"""610d593e6b5dbb840c63e3d3""",B01MR894RT,1,$22.18,B0757QVBWW,1,$37.66,283,B01M9JIWVP,,$26.95,266,B008UV3ET0,1,$29.95,"2,148",
"""610d59bf6b5dbb840c6420ca""",B07P8MHWSG,1,$32.99,B08DHY9RWY,10,$31.99,"2,136",B07Q8BD4JD,1,$67.00,831,B079FPGS99,10,$26.99,"3,011",
"""610d59bf6b5dbb840c6420e6""",B07GF58DXB,1,$58.99,B0181SV7N6,1,$41.99,"9,337",B07C4YD98T,66,$39.99,555,B01HG9E4JA,66,$35.99,"1,251",
"""610d59bf6b5dbb840c6420f4""",B07GF586KK,1,$20.50,B001003RAO,1,$38.77,597,,,,,,,,,
"""610d59bf6b5dbb840c642102""",B077626HSZ,1,$34.90,B085ZB4JSR,1,$49.51,337,B08GM5JNFQ,,$28.99,78,,,,,
"""610d59bf6b5dbb840c64210f""",B07P7H5PN4,1,$18.99,,,,,,,,,,,,,
"""610d59c06b5dbb840c64211a""",B0776C21Z8,1,$35.00,B0066NXCPK,,$27.99,"1,451",B00HJAKZSQ,,$29.97,384,,,,,
"""610d59c06b5dbb840c642125""",B01N365QZ3,1,$30.39,B00DD16F6Q,10,$51.49,59,B009ZFVBKE,1,$10.19,389,,,,,
"""610d59c06b5dbb840c642132""",B07F2R72G9,1,,B01EVYG8ZQ,1,$19.95,"8,228",B07SX7KNMX,30,$13.49,"1,686",,,,,
"""610d59c06b5dbb840c64213e""",B01N7UFWVD,1,$30.39,B00DD16F6Q,10,$51.49,59,B00DD16ECQ,10,$41.99,29,B01N3QCMDB,10,$40.29,1,
"""610d5ff56b5dbb840c6880bd""",https://amazon.com/,,,https://amazon.com/,,,,https://amazon.com/,,,,https://amazon.com/,,,,
"""610d62c06b5dbb840c6aa862""",B07GF54KV8,1,$8.41,B07KCFPTW5,2,$20.99,678,B01LXRM9CH,2,$20.49,190,B00805I66M,1,$11.24,758,
"""610d62c06b5dbb840c6aa86d""",B07PBWFFXV,1,$36.49,B08DHX5VS6,10,$31.99,"2,136",B079FWV2D4,10,$28.99,"3,011",B079FWV2D4,10,$28.99,"3,011",
"""610d62c06b5dbb840c6aa8a4""",B073WFL878,1,$35.49,B07YHQQPWF,898881,$29.95,"2,121",B08SLSN2QH,1,$29.65,187,B087JJS91G,1,$36.99,542,
"""610d62c06b5dbb840c6aa8c4""",B073WGN8DW,1,,B07DNQD5XX,1,$33.13,"37,475",B07BLQJRMQ,,$23.98,"1,189",B08SSRDDRV,1244957543,$38.99,139,
"""610d69a66b5dbb840c6e12f6""",B01MTB9YAG,1,,B078FP7NY8,20,$36.99,"2,720",B07WDWMJW4,24,$52.99,247,,,,,
"""610d69a66b5dbb840c6e1302""",B07PGKXD27,1,$20.42,B082QNYLZJ,1,$29.99,286,B07H15GP7R,1,$19.99,"1,905",,,,,
"""610d69a66b5dbb840c6e130d""",B079L6LY25,1,$32.99,B001DNVZFC,1,$26.94,100,B00084JMC1,,,,B00996OWD2,,$64.88,6,
"""610d69a66b5dbb840c6e1319""",B07767WNWT,1,$10.99,B000QU4MSU,,$6.98,"2,706",B004YK5XAO,62018323881148,$17.72,443,B00DHC362W,1,$14.97,929,
"""610d69a66b5dbb840c6e1327""",B07P7H5SL4,1,$35.99,B07HNDXLG9,2,$27.06,"6,886",B01M705PRM,1,$48.09,"1,956",B08345ST1K,26,$27.99,722,
"""610d69a66b5dbb840c6e1333""",B07PGKXD25,1,$21.40,B00NP0E7SI,1,$24.36,"4,271",B07BR5VHP3,1,$24.98,"4,374",,,,,
"""610d69a66b5dbb840c6e133e""",B01N24KKWK,1,$13.49,B005FAKLMW,1,$15.35,"1,447",B001RTS7OY,1,$9.12,140,B01N8W34SB,846219,$21.95,451,
"""610d69a66b5dbb840c6e134b""",B07PJTWJCH,1,$21.40,B0002YUX8I,1,$19.97,"24,505",B077X5HY7X,,$18.90,"2,519",,,,,
"""610d69a66b5dbb840c6e1357""",B01MYAGGST,1,$19.55,B00895PA12,10,$21.45,273,B07GJW33NH,1,$49.99,293,,,,,
"""610d69a66b5dbb840c6e1364""",B07SZ78BQ5,1,$29.49,B07NNHVB36,127964,$15.99,"1,756",B073RXZNKK,47,$18.99,758,,,,,
"""610d69a66b5dbb840c6e136f""",B07PDHMHDH,1,,B07FN9NJNJ,1,$11.65,"3,238",B06XRQ2V77,,$9.50,509,,,,,
"""610d69a66b5dbb840c6e138c""",B01MTB9T2P,1,$57.19,B083FFL967,50,$34.99,"15,724",B081351Z5K,50,$33.99,"12,871",B083FFL967,50,$34.99,"15,724",
"""610d69a66b5dbb840c6e1399""",B07PD75Q26,1,$37.99,B086CBLCGZ,,$27.99,115,B01MR5FHPK,10,$33.39,104,B085VGW88B,1,$22.00,115,
"""610d69a66b5dbb840c6e13b0""",B01MS9NU4J,1,$23.25,B078FX6B6L,10,$19.99,"2,720",B07WS7Y6TD,10,$22.99,247,B06X97PTSV,10,$33.99,363,
"""610d69a66b5dbb840c6e13c0""",B073WGN8CR,1,,B082R2QCQR,25,$15.98,"5,702",,,,,,,,,
"""610d69a66b5dbb840c6e13d2""",B07763W5NX,1,$14.99,B004MS24IC,1,,"2,016",B017C0H0YE,1,$13.99,883,B00L2P61VE,,$14.43,421,
"""610d69a66b5dbb840c6e13e6""",B01N6T6PRP,1,$15.51,B07N8WC9B2,10,$18.99,195,B07W1521XJ,118,$15.80,164,B00OJQ19EW,10,$17.35,479,
"""610d69a66b5dbb840c6e13f6""",B07T3F6JST,,$11.49,B07DZVW5PY,,$7.99 - $13.99,"3,938",B00006407M,,$25.69 - $67.02,21,,,,,
"""610d69a66b5dbb840c6e1401""",B0775ZBQZT,1,$11.99,B0000DCFE7,1,$11.40,461,B001UP8WJK,1,$11.46,49,,,,,
"""610d69a66b5dbb840c6e140f""",B07PFFFFN5,1,,B07FN9NJNJ,1,$11.65,"3,238",B06XRQ2V77,,$9.50,509,,,,,
"""610d69a66b5dbb840c6e141b""",B07GF54QVJ,1,$10.19,B003E77WA2,1,$14.44,758,B07FMTQPW1,4,,91,B00MR62LUC,2,$9.95,281,
"""610d69a66b5dbb840c6e1426""",B079L6LY1V,1,$25.99,B001ASDCH4,1,$22.06,609,B001ASF632,1,$20.73,"3,572",B0893B48DM,,$20.99,141,
"""610d69a66b5dbb840c6e143a""",B07GF9P3GL,1,$62.99,B08238PX9P,1,$69.99,463,B06XSDCQWS,66,$99.00,766,B07F9NDTRX,66,,68,
"""610d69a76b5dbb840c6e1453""",B07GF9PH3K,1,$25.33,B081T8V316,18,$26.99,"2,423",B072J79MBV,1,$15.62,"4,128",,,,,
"""610d69a76b5dbb840c6e146c""",B01N6T68H5,1,$18.49,B008967AZA,1,$22.89,183,B01BQI3X4Y,1,$18.99,61,B00G0030I8,10,$27.49,37,
"""610d69a76b5dbb840c6e1486""",B01N5RJL3B,1,$84.99,B072DR42MH,50,$69.99,"2,720",B07WS7Y6TD,10,$22.99,247,B07SG6JMKG,50,$83.22,686,
"""610d69a76b5dbb840c6e149c""",B01NBWN35A,1,$44.33,,,,,,,,,,,,,
"""610d69a76b5dbb840c6e14b6""",B07PFFFFMT,1,$11.22,B075VZ6FMJ,12,$9.49,"3,715",,,,,,,,,
"""610d69a76b5dbb840c6e14cc""",B07F2NC2G4,1,,B07SGLSS29,1,$14.99,"1,937",B07ZHWFPBC,996409224,,659,,,,,
"""610d69a76b5dbb840c6e14e9""",B07762NXPM,1,,B017C0H11G,1,$15.99,"1,008",B01FFZU4W8,,$22.95,"1,746",B006J1TBI6,248323888114,$25.27,268,
"""610d69a76b5dbb840c6e1500""",B07SR156R7,1,$93.66,B005MKGQY2,1,$80.39,"1,414",B0002YVPQW,1,$159.99,649,,,,,
"""610d69a76b5dbb840c6e1520""",B01MR8965V,1,$72.79,B081377F4C,50,$40.79,"12,871",B088GXMDZV,50,$43.99,"2,416",B081377F4C,50,$40.79,"12,871",
"""610d69a76b5dbb840c6e153b""",B07SRXJF1W,1,,B0002YVPSK,1,$223.31,564,B005X53TSM,1,$353.87,180,B07WRFP2XF,1,$123.99,182,
"""610d69a76b5dbb840c6e1546""",B01NBWTEG4,1,$57.19,B01N78N3EN,1,$39.96,116,B078H26THW,3,$32.97,"6,886",,,,,
"""610d69a76b5dbb840c6e1553""",B01MS9NRAH,1,$22.18,B083LNVRCT,25,$25.99,"6,181",B092PNLRDN,25,$28.99,548,B083LNVRCT,25,$25.99,"6,181",
"""610d69a76b5dbb840c6e1562""",B07P8MJWJ2,1,$34.99,B01NCVMYSP,25,$75.24,15,B01NASNTHS,25,$60.49,39,,,,,
"""610d69a76b5dbb840c6e1571""",B07P8MJQ2S,1,$36.49,B07K1G89P6,10,$28.99,"2,740",B07WXMQ4D3,10,$29.99,"3,571",B07MDBGZ4M,10,$26.88,"2,391",
"""610d69a76b5dbb840c6e157f""",B07GDRHSRS,1,$18.22,B0725VDNX4,1,$16.37,232,B00BEZJLPK,12,$26.49,388,,,,,
"""610d69a76b5dbb840c6e158a""",B07PJV5MVG,1,$11.22,B07QLQZVFL,12,$10.28,256,,,,,,,,,
"""610d69a76b5dbb840c6e15b6""",B01MZC15UG,1,$14.99,B016EDJKJI,1,$10.99,584,B074V33SLK,1,$29.99,47,,,,,
"""610d69a76b5dbb840c6e1600""",B01NBWN410,1,$24.99,B00MX6732C,,$16.89,"2,374",B07D4FDKBW,10,$16.99,916,,,,,
"""610d69a76b5dbb840c6e160b""",B07Q1R743X,1,,B01KW20GOU,1,$12.60,620,,,,,,,,,
"""610d69a76b5dbb840c6e1617""",B07PZN8Z44,1,,B01LYTBLDU,1,$13.39,258,B07QKJJ8Y4,1,$13.68,114,,,,,
"""610d69a76b5dbb840c6e1623""",B07PHPSDRV,1,$11.22,B075VWPLVQ,12,$9.49,"3,715",,,,,,,,,
"""610d69a76b5dbb840c6e162e""",B01MYAGI3F,1,$19.99,B0789HWSX2,10,$12.74,"12,871",B085WTRJV2,10,$14.99,330,B0789HWSX2,10,$12.74,"12,871",
"""610d69a76b5dbb840c6e1638""",B07GDS15KG,1,$10.19,B083XKVG1G,3535,$16.99,145,B07KCK1M45,2,$22.99,511,B01LZ2K1TT,2,$20.03,65,
"""610d69a76b5dbb840c6e1647""",B07PD5BVW4,1,$31.49,B089NCXK8Q,25,$42.99,469,B01N5M29L7,25,$31.24,542,B01K5TAT56,25,$31.24,184,
"""610d69a76b5dbb840c6e1654""",B01MS9NV9T,1,$11.59,B0069745AY,1,$6.99,933,B0842X4851,523813,$21.89,538,,,,,
"""610d69a76b5dbb840c6e1660""",B01N4Q95VS,1,$22.39,B071ZB885Z,10,$17.59,"12,871",B01N7IKBRA,10,$41.25,17,B01N7IKBRA,10,$41.25,17,
"""610d69a76b5dbb840c6e1696""",B01MTB9RGG,1,$11.59,B01KXMWWM8,1,$11.97,"9,407",B01NALM4IQ,1,$6.99,245,,,,,
"""610d69a76b5dbb840c6e16db""",B079L9X9L4,1,$31.99,B00084JMC0,1,$26.96,296,B001EHVESU,1,$29.91,"3,572",B00I12J5FA,1,$69.99,329,
"""610d69a76b5dbb840c6e16e6""",B01MR892ED,1,$18.49,B07Z32RK2P,12,$16.99,"15,724",0,,,,,,,,
"""610d69a76b5dbb840c6e16f2""",B07P8MJZDS,1,$25.83,B083GN33XX,96,$31.99,54,0,,,,,,,,
"""610d69a86b5dbb840c6e1706""",B07VM9T6Q1,1,,B07RSQ9HGJ,6,$59.99,412,,,,,,,,,
"""610d69a86b5dbb840c6e1720""",B01N24KOZ6,1,$11.59,B00BYG8N3A,1,$11.52,600,B07QB4NP7Z,,$15.19,243,B00NQJ04MG,63291,,283,
"""610d69a86b5dbb840c6e1735""",B01MZC13JY,1,$27.61,B0757QFC7Z,1,$41.51,284,B009ZGCNFK,25,$47.50,25,B00BJCQQF6,1,$39.95,46,
"""610d69a86b5dbb840c6e174f""",B07765Z6S4,1,$11.33,B002YGCUK6,1,$13.37,"2,060",B004EBTRK0,1,$12.90,97,,,,,
"""610d69a86b5dbb840c6e1764""",B07T4J9MP4,,$14.55,B01N67GAGC,1,$17.99,"4,016",,,,,,,,,
"""610d69a86b5dbb840c6e1775""",B01MZC15J5,1,$21.19,B07MP2GV48,1,$26.99,305,B07GJW33NH,1,$49.99,293,,,,,
"""610d69a86b5dbb840c6e1781""",B01MTB9SIM,1,$11.59,B01G8BWPCU,1,$6.16,"9,407",B07THBY7ZH,515105,$17.89,"1,555",,,,,
"""610d69a86b5dbb840c6e178e""",B01NBWHCD6,1,$20.18,B07S67DLLS,10,$24.88,"1,889",B00KWANYO2,10,$32.95,295,,,,,
"""610d69a86b5dbb840c6e1798""",B079LD8CRV,1,$21.99,B0012QFGPA,1,$11.89,"1,358",B0053H4XPS,1,$24.66,185,B001BJR2WS,,$16.89,67,
"""610d69a86b5dbb840c6e17a4""",B077626HSW,1,$35.74,B00O5AGQFE,1,$60.32,337,B07TT55NPH,,$45.99,274,,,,,
"""610d69a86b5dbb840c6e17b0""",B01N5RJMJB,1,$47.49,B078H1751B,5,$37.57,"6,886",B008970V50,25,$70.69,40,B08S3BRS2X,25,$19.99,23,
"""610d69a86b5dbb840c6e17bd""",B01MYAGGEX,1,$13.49,B083LGM9HH,10,$16.99,"6,181",B01JMZX4DS,10,$15.62,"2,442",B008937GXY,10,$15.35,955,
"""610d69a86b5dbb840c6e17c8""",B0775YFBRC,1,$37.21,B00NLI949Q,1,$30.17,"2,185",B01A67IIC8,,$48.77,"1,058",,,,,
"""610d69a86b5dbb840c6e17d3""",B0775YPJ5C,1,$31.17,B00NLI94K0,1,,360,B00O1DUAWU,1,$41.29,65,,,,,
"""610d69a86b5dbb840c6e17e3""",B01N24KI7Y,1,$16.49,B07Z32C8TG,12,$15.99,"15,724",B08FPFPYGF,1,$13.56,693,,,,,
"""610d69a86b5dbb840c6e17f6""",B0775YPJ5F,1,$41.62,B0066NVW6G,,,"1,451",B01A67BQ4U,,$54.95,"1,058",,,,,
"""610d69a86b5dbb840c6e1801""",B07GF5F3NB,1,$25.33,B081T93WCK,18,,"2,423",B01DFMXW8Q,18,$31.99,72,,,,,
"""610d69a86b5dbb840c6e180c""",B01N24KM9U,1,$35.13,B08L8X2TL1,75,$29.99,485,B07PMBVYWX,510,$42.59,122,B00MX66MZG,1,$20.76,277,
"""610d69a86b5dbb840c6e1819""",B0775XKM8R,1,$12.99,B0000DCFEM,1,$18.11,"1,052",B01A3I40UE,,$16.99,"1,058",,,,,
"""610d69a86b5dbb840c6e1827""",B01N5RJLEO,1,$19.55,B07Y853YQG,310,$21.49,371,B07GJSBBSW,1,$25.99,124,B07QCSSFWY,10,$14.88,"1,163",
"""610d69a86b5dbb840c6e1833""",B07GF4X7WC,1,$20.26,B00BEZJLPK,12,$26.49,388,B00BEZKBEU,12,,234,,,,,
"""610d69a86b5dbb840c6e1843""",B07GF583PV,1,$10.19,B004350TXG,1,$12.89,758,B07KBDXPQZ,2,$22.99,511,,,,,
"""610d69a86b5dbb840c6e184f""",B01MR895GG,1,$23.99,B00B2OJHCA,10,$37.49,144,B00GR860IA,10,$39.95,53,B00FZC33UW,10,$29.95,71,
"""610d69a86b5dbb840c6e1859""",B01MYAGID4,1,$37.49,B01BQI3X62,1,$37.99,61,B008967AZA,1,$22.89,183,B078H26THW,3,$32.97,"6,886",
